Age of respondent;Rs religious preference;How fundamentalist is r currently;Religion in which raised;Tried to convince others to accept jesus;Is homosexual sex wrong?
62;Protestant;Liberal;Protestant;Yes;Not applicable
48;Catholic;Moderate;Catholic;No;Not wrong at all
52;None;Liberal;Protestant;No;Not applicable
34;None;Liberal;Catholic;No;Not wrong at all
27;Protestant;Liberal;Catholic;No;Not wrong at all
58;Catholic;Moderate;Catholic;Yes;Not wrong at all
24;Protestant;Fundamentalist;Catholic;Yes;Always wrong
20;Protestant;Moderate;Protestant;Yes;Almost always wrong
68;Buddhism;Na-excluded;Buddhism;Yes;Not applicable
41;Catholic;Moderate;Catholic;No;Always wrong
24;None;Liberal;Protestant;No;Not applicable
39;Moslem/islam;Na-excluded;Hinduism;No;Not applicable
47;Protestant;Moderate;None;Yes;Not wrong at all
40;Protestant;Moderate;Catholic;No;Not wrong at all
47;Buddhism;Na-excluded;Protestant;Yes;Not wrong at all
27;Catholic;Moderate;Catholic;No;Not wrong at all
61;None;Liberal;Protestant;No;Not applicable
47;None;Liberal;Catholic;No;Not applicable
23;Protestant;Fundamentalist;Protestant;Yes;Almost always wrong
45;Protestant;Fundamentalist;Protestant;Yes;Not applicable
33;Catholic;Moderate;Catholic;No;Not wrong at all
27;Catholic;Moderate;Catholic;No;Not wrong at all
18;Protestant;Moderate;Protestant;Yes;Always wrong
61;Protestant;Fundamentalist;None;Yes;Always wrong
79;Catholic;Moderate;Catholic;No;Always wrong
36;None;Liberal;Jewish;No;Not wrong at all
30;Catholic;Moderate;Catholic;No;Not wrong at all
60;Catholic;Moderate;Jewish;No;Always wrong
46;Protestant;Fundamentalist;Protestant;Yes;Not applicable
37;Catholic;Moderate;Catholic;No;Not applicable
28;Catholic;Moderate;Catholic;Yes;Always wrong
22;Catholic;Moderate;Catholic;No;Always wrong
47;Protestant;Moderate;Catholic;No;Not wrong at all
34;Catholic;Moderate;Catholic;No;Not wrong at all
20;None;Liberal;None;No;Not wrong at all
63;No answer;Na-excluded;Protestant;Yes;Always wrong
47;Protestant;Fundamentalist;Catholic;Yes;Always wrong
25;None;Liberal;None;No;Not applicable
21;Catholic;Moderate;Catholic;No;Always wrong
40;Catholic;Moderate;Catholic;No;Not wrong at all
20;Catholic;Moderate;Catholic;No;Not wrong at all
49;Catholic;Moderate;Catholic;No;Always wrong
50;Catholic;Moderate;Catholic;No;Always wrong
