Age of respondent;Rs religious preference;How fundamentalist is r currently;Religion in which raised;Tried to convince others to accept jesus;Is homosexual sex wrong?
54;Protestant;Liberal;Protestant;No;Not applicable
45;Jewish;Liberal;Jewish;No;Not wrong at all
65;Protestant;Moderate;Catholic;No;Not wrong at all
37;Moslem/islam;Na-excluded;Moslem/islam;No;Not wrong at all
35;Protestant;Fundamentalist;None;Yes;Always wrong
71;Catholic;Moderate;Catholic;Yes;Always wrong
54;Catholic;Moderate;Catholic;No;Not applicable
23;None;Liberal;Protestant;Yes;Not applicable
24;Protestant;Na-excluded;Protestant;No;Not applicable
22;None;Liberal;None;No;Not wrong at all
50;Protestant;Liberal;Protestant;Yes;Always wrong
27;Moslem/islam;Na-excluded;Moslem/islam;No;Always wrong
50;Protestant;Fundamentalist;Protestant;Yes;Always wrong
19;Protestant;Moderate;Christian;Yes;Don't know
51;Protestant;Fundamentalist;Protestant;Yes;Not applicable
51;Christian;Moderate;Protestant;Yes;Not applicable
25;Protestant;Fundamentalist;Catholic;Yes;Not applicable
39;Other eastern;Na-excluded;Catholic;No;Not applicable
29;None;Liberal;None;No;Not applicable
53;Protestant;Fundamentalist;Protestant;No;Almost always wrong
26;None;Liberal;Protestant;No;Not wrong at all
37;Protestant;Fundamentalist;Protestant;Yes;Always wrong
62;Protestant;Liberal;Protestant;No;Not applicable
30;Catholic;Moderate;Catholic;No;Not applicable
19;None;Liberal;None;No;Not wrong at all
No answer;Catholic;Moderate;Protestant;No;Always wrong
19;Jewish;Liberal;Jewish;No;Not wrong at all
32;Moslem/islam;Na-excluded;No answer;No answer;Not wrong at all
44;Protestant;Fundamentalist;None;Yes;Not applicable
63;Catholic;Moderate;Catholic;No;Always wrong
49;Protestant;Fundamentalist;Protestant;Yes;Always wrong
33;Protestant;Moderate;Protestant;Yes;Always wrong
62;Catholic;Moderate;Catholic;No;Not wrong at all
50;Protestant;Fundamentalist;Protestant;No;Not applicable
81;Catholic;Moderate;Catholic;No;Not applicable
56;Protestant;Fundamentalist;Protestant;Yes;Not applicable
62;Protestant;Moderate;Protestant;Yes;Always wrong
78;Protestant;Liberal;Catholic;Yes;Wrong only sometimes
86;None;Liberal;Protestant;No;Not applicable
65;None;Liberal;Protestant;No;Not wrong at all
65;Protestant;Moderate;Protestant;No;Wrong only sometimes
58;Protestant;Fundamentalist;Protestant;Yes;Always wrong
26;Catholic;Moderate;Catholic;Yes;Not wrong at all
68;None;Liberal;Protestant;No;Not wrong at all
20;Protestant;Moderate;Protestant;Yes;Wrong only sometimes
23;Catholic;Moderate;Catholic;No;Always wrong
29;None;Liberal;Protestant;No;Not wrong at all
73;Protestant;Liberal;Protestant;No;Not applicable
37;Catholic;Moderate;Catholic;No;Always wrong
61;Buddhism;Na-excluded;Protestant;No;Not applicable
36;Protestant;Fundamentalist;Catholic;Yes;Always wrong
53;Protestant;Fundamentalist;Protestant;Yes;Always wrong
64;Protestant;Fundamentalist;Protestant;Yes;Always wrong
28;Protestant;Fundamentalist;Protestant;Yes;Not applicable
64;Catholic;Moderate;Catholic;No;Wrong only sometimes
75;Catholic;Moderate;Catholic;Yes;Always wrong
19;None;Liberal;None;No;Not applicable
52;Protestant;Moderate;Protestant;Yes;Always wrong
44;Protestant;Fundamentalist;Protestant;Yes;Always wrong
44;Protestant;Liberal;Protestant;No;Not applicable
26;None;Liberal;Catholic;No;Not applicable
20;None;Liberal;None;No;Not applicable
33;None;Liberal;Protestant;Yes;Always wrong
23;Protestant;Moderate;Protestant;Yes;Always wrong
70;Protestant;Liberal;Protestant;No;Always wrong
36;Catholic;Moderate;Catholic;No;Always wrong
51;Protestant;Fundamentalist;Protestant;No;Always wrong
25;None;Liberal;Catholic;No;Wrong only sometimes
61;Catholic;Moderate;Catholic;No;Not applicable
35;Catholic;Moderate;Catholic;No;Not wrong at all
35;Protestant;Fundamentalist;Protestant;Yes;Always wrong
70;Catholic;Moderate;Catholic;No;Not applicable
47;None;Liberal;Catholic;No;Almost always wrong
23;Catholic;Moderate;Catholic;Yes;Not wrong at all
82;Protestant;Moderate;Protestant;Yes;Not wrong at all
51;Catholic;Moderate;Catholic;No;Not applicable
69;Catholic;Moderate;Catholic;No;Always wrong
52;Protestant;Liberal;Catholic;No;Almost always wrong
53;Catholic;Moderate;Catholic;No;Wrong only sometimes
67;Catholic;Moderate;Catholic;No;Not wrong at all
50;Protestant;Moderate;Protestant;No;Not applicable
53;Protestant;Liberal;Protestant;No;Not wrong at all
57;Protestant;Fundamentalist;Protestant;No;Wrong only sometimes
46;Catholic;Moderate;Protestant;No;Always wrong
23;Catholic;Moderate;Catholic;Yes;Always wrong
75;Protestant;Liberal;Protestant;No;Not applicable
62;None;Liberal;Catholic;Yes;Always wrong
23;Protestant;Fundamentalist;Protestant;Yes;Not applicable
34;None;Liberal;Catholic;Yes;Always wrong
26;Catholic;Moderate;Catholic;No;Almost always wrong
61;Protestant;Moderate;Protestant;Yes;Not applicable
54;Protestant;Moderate;Protestant;Yes;Always wrong
47;Protestant;Liberal;Protestant;Yes;Not applicable
41;Protestant;Na-excluded;Protestant;Yes;Always wrong
67;Protestant;Liberal;Protestant;No;Always wrong
59;Protestant;Liberal;Protestant;Yes;Not applicable
34;None;Liberal;Protestant;No;Not wrong at all
71;Protestant;Fundamentalist;Orthodox-christian;Yes;Always wrong
74;Protestant;Liberal;Protestant;Yes;Don't know
56;Protestant;Fundamentalist;Protestant;Yes;Always wrong
44;Protestant;Fundamentalist;Protestant;Yes;Not applicable
56;Protestant;Liberal;Protestant;No;Always wrong
27;Catholic;Moderate;Catholic;Yes;Always wrong
48;Protestant;Fundamentalist;Protestant;Yes;Not applicable
41;Protestant;Fundamentalist;Protestant;Yes;Always wrong
41;None;Liberal;Catholic;No;Not wrong at all
59;Protestant;Moderate;Protestant;Yes;Always wrong
52;Protestant;Liberal;Protestant;No;Always wrong
64;Protestant;Fundamentalist;Protestant;Yes;Always wrong
69;Protestant;Liberal;Protestant;No;Always wrong
56;Protestant;Fundamentalist;Protestant;Yes;Always wrong
61;Protestant;Liberal;Protestant;Yes;Don't know
59;Protestant;Liberal;Protestant;Yes;Almost always wrong
89 or older;Protestant;Moderate;Protestant;Yes;Always wrong
42;None;Liberal;None;No;Not applicable
56;Protestant;Fundamentalist;Protestant;Yes;Always wrong
47;Protestant;Fundamentalist;Protestant;Yes;Always wrong
68;Protestant;Liberal;Protestant;Yes;Not applicable
61;Protestant;Fundamentalist;Protestant;No;Not applicable
56;Catholic;Moderate;Catholic;No;Wrong only sometimes
41;Buddhism;Na-excluded;Protestant;No;Not wrong at all
42;Christian;Moderate;Protestant;Yes;Not applicable
36;Protestant;Moderate;Protestant;Yes;Not applicable
51;None;Liberal;Catholic;No;Not applicable
38;Protestant;Moderate;Protestant;No;Not wrong at all
87;Protestant;Fundamentalist;Protestant;No;Always wrong
28;Christian;Moderate;Christian;No;Not applicable
58;Protestant;Fundamentalist;Protestant;Yes;Not applicable
89 or older;Catholic;Moderate;Protestant;No;Always wrong
76;Catholic;Moderate;Catholic;Yes;Not applicable
76;Protestant;Fundamentalist;Protestant;Yes;Always wrong
54;Protestant;Moderate;Protestant;Yes;Always wrong
19;Protestant;Na-excluded;Protestant;Yes;Not applicable
41;Protestant;Fundamentalist;Protestant;Yes;Always wrong
72;Protestant;Fundamentalist;Protestant;Yes;Always wrong
22;Catholic;Moderate;Catholic;Yes;Always wrong
23;Christian;Moderate;Catholic;No;Not wrong at all
69;Protestant;Fundamentalist;None;Yes;Not wrong at all
69;Catholic;Moderate;Catholic;Yes;Always wrong
56;Protestant;Liberal;None;Yes;Not applicable
34;Catholic;Moderate;Catholic;No;Almost always wrong
46;Christian;Moderate;Protestant;Yes;Always wrong
20;Catholic;Moderate;Catholic;Yes;Not wrong at all
36;Jewish;Liberal;Jewish;No;Not applicable
36;No answer;Na-excluded;No answer;No answer;Always wrong
31;Christian;Moderate;None;No;Always wrong
70;Catholic;Moderate;Catholic;Yes;Always wrong
32;Jewish;Liberal;Jewish;No;Almost always wrong
63;Jewish;Liberal;Jewish;No;Not applicable
55;Jewish;Liberal;None;No;Always wrong
77;Jewish;Liberal;Jewish;No;Not applicable
25;None;Liberal;None;No;Not wrong at all
41;Protestant;Fundamentalist;Protestant;No;Not applicable
35;Catholic;Moderate;Catholic;No;Not applicable
34;Catholic;Moderate;Catholic;No;Always wrong
41;Protestant;Fundamentalist;Protestant;Yes;Always wrong
31;Catholic;Moderate;Catholic;No;Not applicable
24;Catholic;Moderate;Catholic;No;Not wrong at all
28;None;Liberal;Moslem/islam;No;Not wrong at all
32;Buddhism;Na-excluded;Protestant;No;Not applicable
31;Catholic;Moderate;Catholic;Yes;Not applicable
24;Protestant;Liberal;Protestant;No;Not applicable
34;None;Liberal;None;No;Not wrong at all
45;Protestant;Fundamentalist;Protestant;Yes;Not applicable
49;Protestant;Fundamentalist;Protestant;No;No answer
37;Protestant;Fundamentalist;Protestant;Yes;Not wrong at all
29;None;Liberal;None;Yes;Not applicable
26;Protestant;Fundamentalist;Protestant;No;Not wrong at all
29;Catholic;Moderate;Catholic;No;Not wrong at all
28;None;Liberal;Catholic;Yes;Not wrong at all
40;Catholic;Moderate;Catholic;No;Always wrong
45;Protestant;Moderate;Catholic;No;Always wrong
23;Protestant;Fundamentalist;Protestant;Yes;Not applicable
45;None;Liberal;None;No answer;Wrong only sometimes
48;Protestant;Liberal;Protestant;No;Not wrong at all
43;Hinduism;Na-excluded;Hinduism;No;Not wrong at all
23;Protestant;Moderate;Christian;Yes;Always wrong
34;None;Liberal;Catholic;No;Don't know
43;None;Liberal;Protestant;No;Not wrong at all
23;Protestant;Na-excluded;Protestant;Yes;Always wrong
43;Catholic;Moderate;Catholic;No;Don't know
46;None;Liberal;None;No;Not applicable
45;Christian;Moderate;Catholic;Yes;Not applicable
41;Catholic;Moderate;Protestant;No;Not wrong at all
52;Other;Na-excluded;None;No;Almost always wrong
40;None;Liberal;Catholic;No;Not applicable
44;Catholic;Moderate;Catholic;No;Not wrong at all
48;None;Liberal;Protestant;No;Wrong only sometimes
54;None;Liberal;None;No;Not applicable
56;Protestant;Fundamentalist;Protestant;Yes;Not applicable
53;Protestant;Liberal;None;Yes;Always wrong
50;None;Liberal;None;No;Not applicable
81;Protestant;Moderate;No answer;No;Not wrong at all
44;Catholic;Moderate;Protestant;No;Almost always wrong
22;Protestant;Fundamentalist;Protestant;Yes;Always wrong
21;Catholic;Moderate;Catholic;Yes;Not wrong at all
38;Protestant;Na-excluded;Protestant;Yes;Not wrong at all
33;Catholic;Moderate;Catholic;No;Always wrong
56;Protestant;Moderate;Catholic;Yes;Not applicable
47;Orthodox-christian;Liberal;Orthodox-christian;No;Always wrong
74;None;Liberal;Protestant;No;Wrong only sometimes
41;None;Liberal;None;No;Not wrong at all
25;None;Liberal;Catholic;Yes;Not wrong at all
50;Protestant;Moderate;Catholic;No;Always wrong
48;Other;Na-excluded;No answer;No;Don't know
51;Protestant;Moderate;Catholic;Yes;Wrong only sometimes
74;Catholic;Moderate;Catholic;No;Not applicable
73;Catholic;Moderate;Catholic;No;Always wrong
48;Catholic;Moderate;Catholic;No;Not wrong at all
44;Catholic;Moderate;Catholic;No;Always wrong
43;Catholic;Moderate;Catholic;No;Always wrong
27;Protestant;Moderate;Protestant;No;Not wrong at all
41;Protestant;Liberal;Protestant;No;Not applicable
73;Protestant;Moderate;Protestant;Yes;Don't know
51;Protestant;Liberal;Protestant;No;Always wrong
48;None;Liberal;None;No;Not wrong at all
30;Protestant;Fundamentalist;Catholic;No;Not applicable
65;Protestant;Moderate;Protestant;Yes;Always wrong
48;Protestant;Liberal;Protestant;No;Always wrong
43;None;Liberal;None;No;Don't know
42;None;Liberal;None;No;Not wrong at all
18;Protestant;Fundamentalist;Catholic;Yes;Not applicable
52;Catholic;Moderate;Catholic;No;Not applicable
45;Jewish;Liberal;Jewish;No;Not wrong at all
51;None;Liberal;Don't know;No;Not applicable
49;Protestant;Fundamentalist;Protestant;Yes;Always wrong
32;Catholic;Moderate;Catholic;No;Not wrong at all
68;Protestant;Moderate;Protestant;No;Not applicable
34;Catholic;Moderate;Catholic;No;Wrong only sometimes
28;Catholic;Moderate;Catholic;Yes;Always wrong
64;Catholic;Moderate;Catholic;No;Not wrong at all
44;Protestant;Moderate;Inter-nondenominational;Yes;Not applicable
62;Catholic;Moderate;Catholic;No;Not applicable
26;Protestant;Fundamentalist;Protestant;No;Always wrong
31;Protestant;Fundamentalist;Protestant;Yes;Always wrong
35;Catholic;Moderate;Catholic;Yes;Not applicable
26;Protestant;Fundamentalist;Protestant;No;Not applicable
36;None;Liberal;Catholic;No;Not wrong at all
27;None;Liberal;Catholic;No;Always wrong
61;Protestant;Liberal;Catholic;Yes;Not applicable
66;Jewish;Liberal;Jewish;No;Not applicable
39;None;Liberal;No answer;No;Not wrong at all
67;Catholic;Moderate;Catholic;No;Not wrong at all
62;Protestant;Liberal;Protestant;No;Not applicable
37;Protestant;Fundamentalist;Protestant;Yes;Always wrong
53;Protestant;Liberal;Catholic;Yes;Not applicable
51;None;Liberal;Catholic;No;Always wrong
45;Protestant;Fundamentalist;Protestant;No;Always wrong
84;Catholic;Moderate;Catholic;No;Not applicable
47;None;Liberal;Catholic;No;Not applicable
65;None;Liberal;Protestant;No;Not applicable
49;Protestant;Fundamentalist;Protestant;No;Always wrong
48;None;Liberal;Protestant;No;Always wrong
42;Catholic;Moderate;Catholic;No;Wrong only sometimes
44;Protestant;Fundamentalist;Protestant;Yes;Always wrong
52;Protestant;Fundamentalist;Protestant;Yes;Always wrong
69;Protestant;Moderate;Protestant;No;Always wrong
46;Catholic;Moderate;Catholic;No;Always wrong
56;None;Liberal;Catholic;No;Not applicable
19;None;Liberal;None;No;Always wrong
46;Catholic;Moderate;Catholic;Yes;Wrong only sometimes
77;Catholic;Moderate;Catholic;No;Always wrong
65;Catholic;Moderate;Catholic;No;Not applicable
56;Catholic;Moderate;Catholic;No;Always wrong
18;None;Liberal;Catholic;No;Not wrong at all
52;Christian;Moderate;Catholic;No;Not wrong at all
53;Protestant;Moderate;Protestant;No;Always wrong
31;None;Liberal;None;No;Not applicable
53;None;Liberal;Protestant;No;Not wrong at all
21;None;Liberal;Protestant;No;Not wrong at all
75;None;Liberal;Hinduism;No;Not applicable
47;Protestant;Fundamentalist;Protestant;Yes;Always wrong
24;None;Liberal;None;No;Not wrong at all
43;Protestant;Liberal;Protestant;No;Not wrong at all
31;Protestant;Moderate;Protestant;No;Wrong only sometimes
21;None;Liberal;Protestant;No;Not applicable
50;None;Liberal;Catholic;No;Not applicable
23;Protestant;Fundamentalist;Protestant;No;Always wrong
79;Protestant;Moderate;Protestant;No;Wrong only sometimes
59;Catholic;Moderate;Catholic;No;Not wrong at all
74;Protestant;Moderate;Protestant;No;Not applicable
27;Catholic;Moderate;Catholic;No;Not wrong at all
32;None;Liberal;Protestant;No;Not wrong at all
78;Catholic;Moderate;Catholic;No;Always wrong
29;None;Liberal;Protestant;Yes;Not wrong at all
35;Protestant;Liberal;Protestant;No;Wrong only sometimes
33;Protestant;Moderate;Protestant;No;Not wrong at all
46;Catholic;Moderate;Catholic;Yes;Wrong only sometimes
55;Catholic;Moderate;Catholic;No;Not applicable
35;Catholic;Moderate;Catholic;Yes;Not applicable
40;Christian;Moderate;None;Yes;Not applicable
50;Catholic;Moderate;Catholic;No;Not applicable
60;Catholic;Moderate;Catholic;No;Not applicable
38;No answer;Na-excluded;Protestant;No;No answer
40;None;Liberal;Protestant;No;Don't know
75;Christian;Moderate;None;Yes;Always wrong
20;Protestant;Fundamentalist;Catholic;No;No answer
25;Catholic;Moderate;Catholic;No;Not wrong at all
36;Inter-nondenominational;Na-excluded;Jewish;No;Not applicable
54;Catholic;Moderate;Catholic;No;Almost always wrong
60;Catholic;Moderate;Catholic;No;Not applicable
31;Catholic;Moderate;Catholic;Yes;Not wrong at all
39;Protestant;Moderate;Protestant;Yes;Not applicable
63;Catholic;Moderate;Catholic;No;Always wrong
48;Catholic;Moderate;Catholic;Yes;Not applicable
38;None;Liberal;None;No;Not wrong at all
25;None;Liberal;Protestant;Yes;Always wrong
24;Protestant;Fundamentalist;Catholic;Yes;Not applicable
60;Catholic;Moderate;Catholic;No;Almost always wrong
51;Protestant;Na-excluded;Don't know;No;Not applicable
39;Protestant;Fundamentalist;Protestant;Yes;Always wrong
48;Protestant;Fundamentalist;Protestant;Yes;Not wrong at all
54;Protestant;Fundamentalist;Protestant;Yes;Wrong only sometimes
60;Catholic;Moderate;Catholic;No;Not applicable
50;Protestant;Fundamentalist;Protestant;No;Always wrong
74;Protestant;Na-excluded;Protestant;Yes;Always wrong
76;Protestant;Liberal;Protestant;No;Always wrong
67;Catholic;Moderate;Catholic;No;Not wrong at all
61;Protestant;Liberal;Protestant;No;Not wrong at all
35;None;Liberal;Catholic;No;Not wrong at all
80;Protestant;Liberal;Protestant;No;Always wrong
67;Jewish;Liberal;Jewish;No;Always wrong
21;None;Liberal;None;No;Not wrong at all
79;Protestant;Liberal;Protestant;No;Always wrong
31;Catholic;Moderate;Catholic;No;Always wrong
40;Protestant;Liberal;Protestant;No;Not applicable
54;Protestant;Liberal;Protestant;No;Not wrong at all
26;None;Liberal;Catholic;No;Not applicable
65;Catholic;Moderate;Catholic;No;Not wrong at all
74;Protestant;Moderate;Protestant;Yes;Not applicable
57;Protestant;Moderate;Protestant;No;Not wrong at all
69;Catholic;Moderate;Protestant;Yes;Not wrong at all
39;None;Liberal;Protestant;No;Not wrong at all
89 or older;Catholic;Moderate;Protestant;No;Always wrong
51;Protestant;Liberal;Catholic;No;Always wrong
38;Catholic;Moderate;Catholic;No;Not wrong at all
51;Protestant;Liberal;Catholic;No;Always wrong
34;Christian;Moderate;Catholic;Yes;Not wrong at all
40;Catholic;Moderate;Catholic;Yes;Not applicable
26;Catholic;Moderate;Catholic;No;Not applicable
61;Protestant;Liberal;Protestant;Yes;Not applicable
40;Catholic;Moderate;None;No;Not applicable
25;Protestant;Fundamentalist;Protestant;No;Always wrong
54;Protestant;Moderate;Protestant;Yes;Always wrong
43;None;Liberal;None;No;Not wrong at all
28;Protestant;Na-excluded;Catholic;No;Not wrong at all
52;Catholic;Moderate;Catholic;No;Not applicable
66;Catholic;Moderate;Catholic;Yes;Wrong only sometimes
40;Catholic;Moderate;Catholic;Yes;Always wrong
20;None;Liberal;Catholic;Yes;Not wrong at all
80;Catholic;Moderate;Catholic;No;Always wrong
23;Catholic;Moderate;Catholic;No;Not applicable
38;Catholic;Moderate;Catholic;No;Not wrong at all
65;Catholic;Moderate;Catholic;No;Always wrong
65;Protestant;Fundamentalist;Protestant;Yes;Not applicable
19;None;Liberal;Catholic;No;Not applicable
31;Protestant;Fundamentalist;None;Yes;Not applicable
71;Protestant;Fundamentalist;Protestant;Yes;Not wrong at all
51;Protestant;Fundamentalist;Protestant;No;Not applicable
70;Protestant;Fundamentalist;Protestant;Yes;Not applicable
28;Protestant;Fundamentalist;Protestant;Yes;Wrong only sometimes
57;Protestant;Fundamentalist;Protestant;Yes;Not applicable
57;Protestant;Liberal;Catholic;No;Wrong only sometimes
64;Protestant;Fundamentalist;Protestant;Yes;Not applicable
56;Protestant;Liberal;Protestant;Yes;Not wrong at all
32;Protestant;Fundamentalist;None;Yes;Not applicable
26;Protestant;Fundamentalist;Protestant;Yes;Always wrong
46;Catholic;Moderate;Catholic;Yes;Not applicable
67;Protestant;Liberal;Protestant;No;Always wrong
50;Protestant;Na-excluded;Protestant;Yes;Not applicable
67;Protestant;Liberal;None;Yes;Almost always wrong
76;Protestant;Fundamentalist;Protestant;No;Not applicable
46;Protestant;Fundamentalist;Protestant;Yes;Not applicable
27;Protestant;Fundamentalist;Protestant;No;Not wrong at all
48;Protestant;Fundamentalist;Protestant;No;Always wrong
25;Catholic;Moderate;Catholic;No;Not wrong at all
48;Catholic;Moderate;Catholic;No;Always wrong
64;Protestant;Liberal;Protestant;No;Not wrong at all
46;Protestant;Moderate;Protestant;Yes;Not applicable
62;Protestant;Liberal;Protestant;Yes;Always wrong
57;Protestant;Moderate;Protestant;Yes;Always wrong
55;Catholic;Moderate;Catholic;No;Not wrong at all
45;Catholic;Moderate;Catholic;No;Always wrong
70;Catholic;Moderate;Catholic;No;Always wrong
83;Catholic;Moderate;Catholic;No;Always wrong
69;Protestant;Liberal;Protestant;No;No answer
80;Catholic;Moderate;Catholic;Yes;Almost always wrong
23;None;Liberal;Catholic;No;Not applicable
51;Protestant;Liberal;Protestant;No;Always wrong
22;Catholic;Moderate;Catholic;No;No answer
36;Protestant;Fundamentalist;Protestant;Yes;Always wrong
76;Catholic;Moderate;Catholic;No;Not applicable
29;Protestant;Liberal;Protestant;No;Not wrong at all
68;Catholic;Moderate;Catholic;No;Always wrong
47;None;Liberal;Protestant;No;Not applicable
50;Protestant;Liberal;Protestant;No;Not wrong at all
80;Protestant;Moderate;Protestant;No;Always wrong
60;None;Liberal;Catholic;No;Not applicable
50;Protestant;Fundamentalist;Protestant;No;Always wrong
31;Protestant;Fundamentalist;Protestant;Yes;Always wrong
34;Protestant;Moderate;Catholic;No;Not wrong at all
47;Protestant;Liberal;None;No;Not wrong at all
48;Protestant;Na-excluded;Protestant;No;Not wrong at all
25;Protestant;Fundamentalist;Protestant;No;Always wrong
64;Catholic;Moderate;Catholic;Yes;Not wrong at all
86;Protestant;Fundamentalist;Catholic;Yes;Always wrong
23;None;Liberal;Catholic;Yes;Not wrong at all
46;Protestant;Fundamentalist;Catholic;Yes;Always wrong
42;Protestant;Liberal;Protestant;No;Not applicable
20;Jewish;Liberal;Jewish;No;Not applicable
22;None;Liberal;Catholic;No;Wrong only sometimes
41;Protestant;Moderate;Catholic;No;Not wrong at all
47;None;Liberal;Protestant;No;Not applicable
44;Catholic;Moderate;Catholic;No;Not wrong at all
46;Catholic;Moderate;Catholic;Yes;Always wrong
34;Hinduism;Na-excluded;Hinduism;No;Always wrong
57;Protestant;Liberal;Protestant;No;Not applicable
51;Protestant;Moderate;Protestant;No;Always wrong
78;Protestant;Fundamentalist;Don't know;Yes;Always wrong
65;Protestant;Fundamentalist;Protestant;Don't know;Not applicable
27;Protestant;Fundamentalist;Protestant;Yes;Not wrong at all
89 or older;Protestant;Moderate;Protestant;No;Always wrong
89 or older;Protestant;Fundamentalist;Protestant;Yes;Not applicable
24;None;Liberal;Protestant;Yes;Not applicable
77;Protestant;Fundamentalist;Protestant;Yes;Always wrong
33;None;Liberal;None;No;Always wrong
38;Protestant;Fundamentalist;Protestant;Yes;Always wrong
73;Protestant;Fundamentalist;Protestant;Yes;Always wrong
37;Catholic;Moderate;Catholic;No;Not applicable
24;None;Liberal;Don't know;No;Not applicable
67;Protestant;Liberal;Protestant;Yes;Not applicable
46;Catholic;Moderate;Catholic;No;Not applicable
46;None;Liberal;Protestant;No;Not wrong at all
72;Catholic;Moderate;Catholic;Yes;Not applicable
43;None;Liberal;None;No;Not applicable
21;Catholic;Moderate;Catholic;No;Not applicable
55;Protestant;Fundamentalist;Protestant;No;Wrong only sometimes
47;Catholic;Moderate;Protestant;Yes;Not applicable
40;Protestant;Liberal;Protestant;Yes;Always wrong
60;Protestant;Liberal;Protestant;Yes;Not applicable
27;Catholic;Moderate;Catholic;No;Not wrong at all
28;Catholic;Moderate;Catholic;No;Not wrong at all
79;None;Liberal;Catholic;No;Not wrong at all
43;None;Liberal;None;No;Not applicable
19;Protestant;Na-excluded;Protestant;Yes;Not wrong at all
45;Catholic;Moderate;Catholic;No;Always wrong
52;None;Liberal;Protestant;No;Almost always wrong
57;Protestant;Moderate;None;No;Always wrong
33;Jewish;Liberal;Protestant;Yes;Not wrong at all
50;Protestant;Liberal;Protestant;No;Not applicable
54;Protestant;Liberal;Protestant;Yes;Wrong only sometimes
50;Catholic;Moderate;Catholic;Yes;Always wrong
77;Protestant;Fundamentalist;Protestant;Yes;Always wrong
22;None;Liberal;None;No;Always wrong
76;Protestant;Moderate;Protestant;Yes;Always wrong
60;None;Liberal;None;No;Not applicable
34;No answer;Na-excluded;No answer;Yes;Always wrong
46;Catholic;Moderate;None;No;Not applicable
56;Protestant;Liberal;Protestant;No;Not wrong at all
58;Protestant;Liberal;Protestant;No;Not applicable
50;None;Liberal;None;No;Always wrong
38;Protestant;Moderate;Protestant;Yes;Always wrong
70;Jewish;Liberal;Jewish;No;Not wrong at all
34;Catholic;Moderate;Catholic;No;Not wrong at all
39;None;Liberal;Protestant;No;Not wrong at all
59;Protestant;Moderate;Protestant;Yes;Not applicable
68;Protestant;Fundamentalist;Protestant;Yes;Not applicable
70;Protestant;Fundamentalist;None;Yes;Always wrong
53;Protestant;Fundamentalist;Other;Yes;Not applicable
62;Protestant;Moderate;Protestant;Yes;Always wrong
37;Protestant;Moderate;Protestant;No;Always wrong
53;Jewish;Liberal;Catholic;No;Not applicable
77;Protestant;Moderate;Protestant;Yes;Always wrong
78;Protestant;Fundamentalist;Protestant;Yes;Always wrong
29;Protestant;Liberal;Catholic;No;Not wrong at all
33;None;Liberal;Catholic;No;Not wrong at all
62;None;Liberal;Protestant;Yes;Not applicable
39;None;Liberal;Protestant;No;Not wrong at all
59;None;Liberal;Protestant;Yes;Not applicable
74;Catholic;Moderate;Catholic;No;Always wrong
31;Catholic;Moderate;Catholic;Yes;Not wrong at all
41;Catholic;Moderate;Catholic;Yes;Almost always wrong
28;Protestant;Na-excluded;Protestant;Yes;Not applicable
47;Catholic;Moderate;Catholic;No;Not applicable
75;Catholic;Moderate;Catholic;No;Always wrong
46;Christian;Moderate;Protestant;No;Not wrong at all
33;Protestant;Fundamentalist;None;Yes;Always wrong
52;Protestant;Moderate;Protestant;Yes;Not applicable
37;Protestant;Moderate;None;Yes;Always wrong
26;Catholic;Moderate;Catholic;Yes;Not applicable
58;Catholic;Moderate;Protestant;Yes;Not applicable
82;Protestant;Fundamentalist;Protestant;Yes;Not applicable
47;Protestant;Moderate;Protestant;No;Not applicable
74;Catholic;Moderate;Catholic;Yes;Always wrong
48;Protestant;Moderate;Protestant;No;Not wrong at all
38;Protestant;Moderate;Protestant;Yes;Wrong only sometimes
55;Protestant;Moderate;Protestant;Yes;Always wrong
27;Catholic;Moderate;Catholic;Yes;Not applicable
38;Catholic;Moderate;Catholic;No;Always wrong
59;Catholic;Moderate;Catholic;No;Wrong only sometimes
62;Protestant;Liberal;Protestant;No;Always wrong
39;None;Liberal;Protestant;No;Not wrong at all
25;Other;Na-excluded;Catholic;No;Not wrong at all
22;Buddhism;Na-excluded;Protestant;No;Not applicable
49;Catholic;Moderate;Protestant;No;Always wrong
57;Catholic;Moderate;Catholic;No;Not wrong at all
67;Protestant;Liberal;Protestant;Yes;Not wrong at all
62;None;Liberal;Protestant;No;Not wrong at all
37;None;Liberal;None;No;Not wrong at all
84;Protestant;Liberal;None;No;Not applicable
27;Protestant;Moderate;Catholic;Yes;Not applicable
52;None;Liberal;Protestant;Yes;Wrong only sometimes
44;Protestant;Moderate;Protestant;No;Not wrong at all
54;Protestant;Liberal;Protestant;No;Not wrong at all
69;Protestant;Fundamentalist;Protestant;Yes;Not applicable
51;None;Liberal;Protestant;No;Not applicable
34;Protestant;Liberal;Protestant;No;Not wrong at all
85;Protestant;Liberal;Protestant;No;Don't know
76;Protestant;Fundamentalist;Protestant;Yes;Always wrong
82;Protestant;Liberal;Protestant;Yes;Always wrong
61;Protestant;Fundamentalist;Protestant;No;Not wrong at all
31;None;Liberal;None;No;Always wrong
76;Protestant;Liberal;Protestant;Yes;Not applicable
76;Protestant;Fundamentalist;Protestant;Yes;Not applicable
70;None;Liberal;Protestant;No;Not wrong at all
31;Protestant;Moderate;Protestant;Yes;Not applicable
67;Protestant;Moderate;Protestant;Yes;Always wrong
